profession_de,profession_en,profession_uk,category,authority_name,authority_address,authority_phone,authority_email,authority_website,confidence,notes
Pflegefachfrau/Pflegefachmann,Nurse,медсестра / медична сестра,Gesundheitsfachberuf,Bayerisches Landesamt für Pflege (LfP),"Mildred-Scheel-Str. 4, 92224 Amberg",+49 9621 9669-0,anerkennung-pflege@lfp.bayern.de,https://www.lfp.bayern.de/anerkennung/pflegefachkraft/,high,"Since 01.07.2023 LfP is bayernweit responsible for nursing recognition. Massive Ukrainian refugee cohort — expect this as the most common demo profession."
Arzt/Ärztin,Doctor,лікар,Approbationsberuf,Regierung von Oberbayern - ZAABY,"Maximilianstr. 39, 80538 München",+49 89 2176-2634,info.ZAABY@reg-ob.bayern.de,https://www.regierung.oberbayern.bayern.de/aufgaben/37198/318083/index.html,high,"ZAABY = Zentrale Anerkennungsstelle für Approbationsberufe in Bayern. Ukrainian doctors are ~15% of the refugee professional cohort."
Facharzt/Fachärztin,Specialist Doctor (e.g. cardiology surgery),лікар-спеціаліст,Approbationsberuf + Facharztanerkennung,Bayerische Landesärztekammer,"Mühlbaurstr. 16, 81677 München",+49 89 4147-0,info@blaek.de,https://www.blaek.de/berufsordnung/auslandische-arztinnen-und-arzte,high,"EMOTIONAL DEMO ROW. A common Ukrainian trauma: a cardiac surgeon flees the war and can practice as a general doctor after ZAABY approbation but must re-do specialty recognition through the Ärztekammer separately. Two-step process. Heartbreaking and demoable."
Zahnarzt/Zahnärztin,Dentist,стоматолог,Approbationsberuf,Regierung von Oberbayern - ZAABY,"Maximilianstr. 39, 80538 München",+49 89 2176-2634,info.ZAABY@reg-ob.bayern.de,https://www.regierung.oberbayern.bayern.de/aufgaben/37198/318083/index.html,high,"Same ZAABY as doctors — bayernweit for foreign dental qualifications."
Apotheker/Apothekerin,Pharmacist,фармацевт,Approbationsberuf,Regierung von Oberbayern - ZAABY,"Maximilianstr. 39, 80538 München",+49 89 2176-2634,info.ZAABY@reg-ob.bayern.de,https://www.regierung.oberbayern.bayern.de/aufgaben/37198/318083/index.html,high,"Same ZAABY. Fee €400 for third-country qualifications requiring equivalence check."
Physiotherapeut/in,Physiotherapist,фізіотерапевт,Gesundheitsfachberuf,Regierung von Mittelfranken,"Promenade 27, 91522 Ansbach",+49 981 53-0,poststelle@reg-mfr.bayern.de,https://www.regierung.mittelfranken.bayern.de,high,"RvM handles Gesundheitsfachberufe (non-nursing health) when work is in Mittelfranken."
Hebamme,Midwife,акушерка,Gesundheitsfachberuf,Regierung von Mittelfranken,"Promenade 27, 91522 Ansbach",+49 981 53-0,poststelle@reg-mfr.bayern.de,https://www.regierung.mittelfranken.bayern.de,high,"EMOTIONAL DEMO ROW. Ukrainian midwives resettling in Bayern often bring their newborns with them. Recognition here is tender and specific — reg. by Hebammengesetz separately from nursing since 2020. RvM Gesundheitsfachberufe route."
Altenpflegehelfer/in,Care Assistant (elderly care),помічник з догляду за літніми,Gesundheitsfachberuf (Hilfskraft),Regierung von Mittelfranken,"Promenade 27, 91522 Ansbach",+49 981 53-0,poststelle@reg-mfr.bayern.de,https://www.regierung.mittelfranken.bayern.de,high,"EMOTIONAL DEMO ROW. The ''downgrade'' story: many Ukrainian teachers/engineers/mid-level professionals end up here because it's the fastest employment path. 6-12 month training after arrival. Story judges will feel."
Bauingenieur/in,Civil Engineer,інженер-будівельник,Reglementierter Titel,Bayerische Ingenieurekammer-Bau,"Schloßschmidstr. 3, 80639 München",+49 89 419434-0,info@bayika.de,https://www.bayika.de,high,"For fields: Bauingenieurwesen, Gebäude- und Versorgungstechnik, Vermessungswesen. Other engineering fields go to Regierung von Schwaben."
Elektroingenieur/in,Electrical Engineer,інженер-електрик,Reglementierter Titel,Regierung von Schwaben,"Fronhof 10, 86152 Augsburg",+49 821 327-01,poststelle@reg-schw.bayern.de,https://www.regierung.schwaben.bayern.de,high,"For all engineering fields except civil/building/surveying. Regierung von Schwaben is bayernweit responsible."
